Date,Open,Close,Predicted_Open,%_error
16-09-2020,188.1076883,186.5546265,187.3036695,0.43%
17-09-2020,185.4251334,183.9662018,184.7177674,0.38%
18-09-2020,184.4838858,181.2836609,182.0378407,1.33%
21-09-2020,181.7072469,174.8832245,175.6436419,3.34%
22-09-2020,175.2126395,175.2597046,176.0197551,-0.46%
23-09-2020,177.0951215,173.0007172,173.7629691,1.88%
24-09-2020,170.4593598,165.9884491,166.7575348,2.17%
25-09-2020,168.4827414,171.4947205,172.2584401,-2.24%
28-09-2020,173.188957,176.2480011,177.0070884,-2.20%
29-09-2020,177.4245669,174.1772766,174.938382,1.40%
30-09-2020,174.1772869,174.5067139,175.2674982,-0.63%
01-10-2020,176.0126957,179.1188049,179.8750945,-2.19%
05-10-2020,180.7189259,177.6598816,178.417593,1.27%
06-10-2020,179.8718155,180.3424377,181.0975349,-0.68%
07-10-2020,181.2366081,179.4953003,180.251223,0.54%
08-10-2020,180.1071254,180.2483063,181.0034951,-0.50%
09-10-2020,180.7189304,186.6487732,187.3977245,-3.70%
12-10-2020,187.9664977,187.0252533,187.7738377,0.10%
13-10-2020,186.9781909,184.2015228,184.9528591,1.08%
14-10-2020,182.648463,188.295929,189.043275,-3.50%
15-10-2020,189.1901178,181.5189819,182.2729325,3.66%
16-10-2020,182.601405,184.4368286,185.1879356,-1.42%
19-10-2020,184.6721459,192.013855,192.7575778,-4.38%
20-10-2020,189.1901208,191.1196747,191.8642689,-1.41%
21-10-2020,192.6727132,191.7785339,192.5224861,0.08%
22-10-2020,190.0372298,191.3549805,192.0993454,-1.09%
23-10-2020,192.0138593,190.8843689,191.6291924,0.20%
26-10-2020,190.7902273,185.1427612,185.8931802,2.57%
27-10-2020,185.6604522,183.2132111,183.9655105,0.91%
28-10-2020,183.5426594,179.2599945,180.0161465,1.92%
29-10-2020,178.2246104,177.612793,178.3705502,-0.08%
30-10-2020,178.2246233,178.1304932,178.8877459,-0.37%
02-11-2020,180.9071635,184.5309601,185.2819753,-2.42%
03-11-2020,186.3663733,192.7197723,193.4628072,-3.81%
04-11-2020,191.5432301,194.8375854,195.5785564,-2.11%
05-11-2020,203.3087783,205.8030701,206.5333546,-1.59%
06-11-2020,206.132509,206.320755,207.0505351,-0.45%
09-11-2020,209.4268517,206.6031189,207.3326238,1.00%
10-11-2020,209.9916113,218.0863037,218.8046177,-4.20%
