Date,Open,Close,Predicted_Open,%_error
11-01-2021,526.9739486,526.5389404,527.3132733,-0.06%
12-01-2021,522.9623925,529.7290039,530.4934282,-1.44%
13-01-2021,533.1122632,537.9455566,538.6844598,-1.05%
14-01-2021,535.5772279,534.8522339,535.6007451,0.00%
15-01-2021,531.6621784,524.8955688,525.6750061,1.13%
18-01-2021,526.3455743,515.3740234,516.1830352,1.93%
19-01-2021,521.029093,528.2307129,528.999791,-1.53%
20-01-2021,528.2305607,532.6288452,533.3842624,-0.98%
21-01-2021,536.4955811,534.2722778,535.0225904,0.27%
22-01-2021,534.6588807,516.0023804,516.8094405,3.34%
25-01-2021,518.6607297,520.1107178,520.9050171,-0.43%
27-01-2021,519.8689688,504.934082,505.775521,2.71%
28-01-2021,497.4425068,510.6374207,511.4611447,-2.82%
29-01-2021,515.5673148,519.0956421,519.8930943,-0.84%
01-02-2021,533.5956086,583.6685181,584.2654026,-9.50%
02-02-2021,592.5617213,596.7666626,597.3228634,-0.80%
03-02-2021,602.6150143,601.5999756,602.1411638,0.08%
04-02-2021,598.1683062,607.3515625,607.8748859,-1.62%
05-02-2021,607.3515846,593.6734009,594.2392096,2.16%
08-02-2021,601.5999407,608.6082153,609.1276355,-1.25%
09-02-2021,610.2999589,612.2332764,612.7414369,-0.40%
10-02-2021,612.2331853,611.0732422,611.5850058,0.11%
11-02-2021,605.8532987,609.623291,610.1395583,-0.71%
12-02-2021,608.8983662,626.0081787,626.4735534,-2.89%
15-02-2021,633.1614209,651.4796143,651.865873,-2.95%
16-02-2021,650.9479172,636.3996582,636.8327563,2.17%
17-02-2021,632.9680767,635.4330444,635.8691449,-0.46%
18-02-2021,628.3281556,623.1565552,623.6307872,0.75%
19-02-2021,614.3115389,603.2432861,603.7793701,1.71%
22-02-2021,601.2616492,589.5167236,590.0954433,1.86%
23-02-2021,594.2533999,595.751709,596.3110623,-0.35%
24-02-2021,594.5916694,619.7247925,620.2096838,-4.31%
25-02-2021,621.2714773,607.0615845,607.5858086,2.20%
26-02-2021,594.4949888,577.8201294,578.4351794,2.70%
01-03-2021,587.2935183,588.0668335,588.6500566,-0.23%
02-03-2021,589.6617513,590.1450806,590.7218485,-0.18%
03-03-2021,597.3950988,611.0249634,611.536877,-2.37%
04-03-2021,598.1200275,600.0533447,600.5993369,-0.41%
05-03-2021,592.7550969,589.130127,589.7100474,0.51%
08-03-2021,591.2084209,587.7767944,588.3609184,0.48%
09-03-2021,594.3500496,604.2583008,604.7912321,-1.76%
10-03-2021,607.7865752,604.7415771,605.2730074,0.41%
12-03-2021,610.3966349,592.416748,592.98646,2.85%
15-03-2021,591.4983732,583.378418,583.9762036,1.27%
16-03-2021,586.6167269,575.1135254,575.7369823,1.85%
17-03-2021,577.6268044,569.8452148,570.4850355,1.24%
18-03-2021,574.9201524,559.3085938,559.9811418,2.60%
19-03-2021,556.0220785,567.090332,567.7387095,-2.11%
22-03-2021,567.2835731,554.3303833,555.0183941,2.16%
23-03-2021,556.7954196,566.8486938,567.4978219,-1.92%
24-03-2021,560.6620298,548.5787964,549.284672,2.03%
25-03-2021,549.1587294,552.4937134,553.1874289,-0.73%
26-03-2021,565.0119453,559.2603149,559.933013,0.90%
30-03-2021,562.5953494,571.7302856,572.3642511,-1.74%
31-03-2021,566.4618863,562.6918945,563.3539339,0.55%
01-04-2021,567.9602019,574.5818481,575.2069565,-1.28%
05-04-2021,572.2619649,552.2037964,552.8984125,3.38%
06-04-2021,555.538688,547.0321045,547.7427842,1.40%
07-04-2021,547.6603748,558.3903198,559.0657201,-2.08%
08-04-2021,562.5952633,557.4719849,558.1502376,0.79%
09-04-2021,554.8136863,547.3220825,548.0318615,1.22%
12-04-2021,533.015593,520.5939941,521.3867924,2.18%
13-04-2021,522.9623276,541.9088135,542.6354065,-3.76%
15-04-2021,547.0804417,556.0220337,556.7047901,-1.76%
16-04-2021,555.4420222,548.0471191,548.7546461,1.20%
19-04-2021,531.6622367,541.0871582,541.8163033,-1.91%
20-04-2021,546.3553924,540.4587402,541.1898372,0.95%
22-04-2021,533.5955462,559.8886719,560.5594182,-5.05%
23-04-2021,550.8988224,550.9471436,551.6456629,-0.14%
26-04-2021,581.9285097,571.3919067,572.0269233,1.70%
27-04-2021,573.4702427,578.7868652,579.3989125,-1.03%
28-04-2021,578.0618459,600.6333008,601.1774916,-4.00%
29-04-2021,601.7933424,600.7300415,601.2739318,0.09%
30-04-2021,589.758415,580.4785156,581.0853085,1.47%
03-05-2021,572.7936589,576.8536377,577.4716897,-0.82%
04-05-2021,576.7569603,571.8269653,572.4606305,0.74%
05-05-2021,575.4518429,582.7017822,583.3016695,-1.36%
06-05-2021,582.701894,587.921875,588.5055483,-1.00%
07-05-2021,591.5951106,586.8584595,587.4454358,0.70%
10-05-2021,590.628363,592.8033447,593.3718559,-0.46%
11-05-2021,586.1817987,589.5167236,590.0954433,-0.67%
12-05-2021,583.0885044,574.9202271,575.5442844,1.29%
14-05-2021,572.2619139,577.3851929,578.0015938,-1.00%
17-05-2021,583.1367503,602.8082275,603.3456629,-3.47%
18-05-2021,607.0616202,612.0882568,612.5968678,-0.91%
19-05-2021,606.1916311,604.5966797,605.12856,0.18%
20-05-2021,607.109973,597.9750366,598.5274842,1.41%
21-05-2021,601.5516513,621.0298462,621.5106839,-3.32%
24-05-2021,621.8031418,625.7664185,626.2325441,-0.71%
25-05-2021,628.4247595,628.618103,629.0753711,-0.10%
26-05-2021,627.6998135,630.744812,631.1954744,-0.56%
27-05-2021,629.3913708,630.5030518,630.9544651,-0.25%
28-05-2021,636.1097437,621.6098633,622.0888995,2.20%
31-05-2021,622.2865009,640.6530151,641.072902,-3.02%
01-06-2021,642.3930349,628.4248047,628.8826732,2.10%
02-06-2021,626.8781157,626.7330933,627.1962164,-0.05%
03-06-2021,631.6630825,628.5697632,629.0271815,0.42%
04-06-2021,631.228118,621.2715454,621.7516324,1.50%
07-06-2021,623.6881589,626.5881348,627.0517081,-0.54%
08-06-2021,626.3947709,620.9815063,621.4624943,0.79%
09-06-2021,622.9149163,614.8916016,615.3915051,1.21%
10-06-2021,614.2631851,619.0481567,619.5351498,-0.86%
11-06-2021,622.5281374,614.5048828,615.0059875,1.21%
14-06-2021,614.5049781,613.9733276,614.4760834,0.00%
15-06-2021,615.1331837,623.78479,624.2570708,-1.48%
16-06-2021,623.3981874,618.7581787,619.2460724,0.67%
17-06-2021,611.9432186,611.8948975,612.404109,-0.08%
18-06-2021,611.5082547,609.3816528,609.8986707,0.26%
21-06-2021,602.0832912,610.2032471,610.717713,-1.43%
22-06-2021,613.8282464,609.8165894,610.3322562,0.57%
23-06-2021,612.6199536,603.8717041,604.4058362,1.34%
24-06-2021,606.09492,612.9098511,613.4159101,-1.21%
25-06-2021,614.8915901,627.3615112,627.8226824,-2.10%
28-06-2021,629.2947759,628.618103,629.0753711,0.03%
29-06-2021,624.7514741,618.7581787,619.2460724,0.88%
30-06-2021,617.0181674,609.8649292,610.3804459,1.08%
01-07-2021,612.8132666,609.8165894,610.3322562,0.40%
02-07-2021,611.1699291,618.9031982,619.3906415,-1.35%
05-07-2021,621.3198811,626.2498169,626.7144411,-0.87%
06-07-2021,623.6881676,628.618103,629.0753711,-0.86%
07-07-2021,629.1980842,632.1947021,632.6408611,-0.55%
08-07-2021,628.8114092,620.4981689,620.9806581,1.25%
09-07-2021,618.1782252,617.2598877,617.7524352,0.07%
12-07-2021,624.4614603,624.703125,625.1725533,-0.11%
13-07-2021,633.3063602,642.7796021,643.1928836,-1.56%
14-07-2021,639.9280218,642.199646,642.6147289,-0.42%
15-07-2021,642.9246668,645.1963501,645.6021251,-0.42%
16-07-2021,645.1963623,638.284729,638.7119719,1.01%
19-07-2021,624.1231819,634.0314331,634.4718871,-1.66%
20-07-2021,627.0231144,620.4981689,620.9806581,0.96%
22-07-2021,630.7447887,634.0797729,634.5200768,-0.60%
23-07-2021,634.0798129,654.0896606,654.4678124,-3.22%
26-07-2021,657.3278588,654.1862183,654.5640701,0.42%
27-07-2021,657.4729665,654.8629761,655.2387259,0.34%
28-07-2021,655.2979594,662.2095337,662.5624646,-1.11%
29-07-2021,671.3711881,666.5237427,666.8632733,0.67%
30-07-2021,666.0389702,661.6762695,662.0308568,0.60%
02-08-2021,663.1789125,660.6098022,660.967702,0.33%
03-08-2021,662.1610234,669.3352661,669.666064,-1.13%
04-08-2021,672.8253654,692.8453369,693.103111,-3.01%
05-08-2021,693.6693981,681.0175781,681.31209,1.78%
06-08-2021,683.5381967,676.3640137,676.6729798,1.00%
09-08-2021,676.1216666,681.4053345,681.6986419,-0.82%
10-08-2021,682.6172715,679.5149536,679.8141327,0.41%
